& https://raw.githubusercontent.com/padagraph/Clics/master/nodes.csv
_Edge:, languages, families, weight, width
9 -- 38, 9.0, 5.0, 5.0, 5
9 -- 64, 1.0, 1.0, 1.0, 1
9 -- 516, 1.0, 1.0, 1.0, 1
9 -- 15, 1.0, 1.0, 1.0, 1
9 -- 139, 1.0, 1.0, 1.0, 1
10 -- 195, 1.0, 1.0, 1.0, 1
10 -- 352, 1.0, 1.0, 1.0, 1
10 -- 493, 2.0, 2.0, 2.0, 2
10 -- 196, 1.0, 1.0, 1.0, 1
10 -- 37, 1.0, 1.0, 1.0, 1
10 -- 1223, 1.0, 1.0, 1.0, 1
10 -- 769, 2.0, 2.0, 2.0, 2
10 -- 501, 10.0, 9.0, 9.0, 9
10 -- 291, 1.0, 1.0, 1.0, 1
10 -- 579, 1.0, 1.0, 1.0, 1
10 -- 349, 2.0, 2.0, 2.0, 2
10 -- 45, 1.0, 1.0, 1.0, 1
10 -- 959, 1.0, 1.0, 1.0, 1
10 -- 317, 1.0, 1.0, 1.0, 1
10 -- 980, 1.0, 1.0, 1.0, 1
10 -- 227, 1.0, 1.0, 1.0, 1
10 -- 397, 1.0, 1.0, 1.0, 1
11 -- 1149, 1.0, 1.0, 1.0, 1
11 -- 449, 1.0, 1.0, 1.0, 1
11 -- 107, 2.0, 2.0, 2.0, 2
11 -- 544, 1.0, 1.0, 1.0, 1
12 -- 863, 2.0, 1.0, 1.0, 1
12 -- 1219, 1.0, 1.0, 1.0, 1
12 -- 687, 3.0, 3.0, 3.0, 3
12 -- 985, 1.0, 1.0, 1.0, 1
12 -- 1021, 1.0, 1.0, 1.0, 1
12 -- 1023, 13.0, 10.0, 10.0, 10
12 -- 188, 1.0, 1.0, 1.0, 1
12 -- 1026, 63.0, 21.0, 21.0, 21
12 -- 754, 1.0, 1.0, 1.0, 1
12 -- 543, 1.0, 1.0, 1.0, 1
12 -- 1255, 1.0, 1.0, 1.0, 1
12 -- 409, 1.0, 1.0, 1.0, 1
12 -- 702, 1.0, 1.0, 1.0, 1
12 -- 579, 1.0, 1.0, 1.0, 1
13 -- 54, 1.0, 1.0, 1.0, 1
13 -- 553, 5.0, 4.0, 4.0, 4
13 -- 562, 3.0, 3.0, 3.0, 3
13 -- 292, 5.0, 4.0, 4.0, 4
13 -- 652, 5.0, 5.0, 5.0, 5
13 -- 67, 1.0, 1.0, 1.0, 1
13 -- 492, 1.0, 1.0, 1.0, 1
13 -- 18, 1.0, 1.0, 1.0, 1
13 -- 654, 7.0, 6.0, 6.0, 6
13 -- 653, 1.0, 1.0, 1.0, 1
14 -- 1107, 1.0, 1.0, 1.0, 1
14 -- 903, 1.0, 1.0, 1.0, 1
14 -- 507, 1.0, 1.0, 1.0, 1
14 -- 143, 1.0, 1.0, 1.0, 1
14 -- 15, 1.0, 1.0, 1.0, 1
14 -- 120, 1.0, 1.0, 1.0, 1
15 -- 804, 1.0, 1.0, 1.0, 1
15 -- 848, 39.0, 27.0, 27.0, 27
15 -- 1237, 1.0, 1.0, 1.0, 1
15 -- 586, 1.0, 1.0, 1.0, 1
15 -- 962, 1.0, 1.0, 1.0, 1
15 -- 521, 1.0, 1.0, 1.0, 1
15 -- 335, 1.0, 1.0, 1.0, 1
15 -- 26, 1.0, 1.0, 1.0, 1
15 -- 344, 1.0, 1.0, 1.0, 1
15 -- 212, 1.0, 1.0, 1.0, 1
15 -- 497, 1.0, 1.0, 1.0, 1
15 -- 585, 1.0, 1.0, 1.0, 1
15 -- 210, 1.0, 1.0, 1.0, 1
15 -- 1205, 1.0, 1.0, 1.0, 1
15 -- 395, 1.0, 1.0, 1.0, 1
15 -- 978, 1.0, 1.0, 1.0, 1
15 -- 196, 1.0, 1.0, 1.0, 1
15 -- 469, 1.0, 1.0, 1.0, 1
15 -- 285, 1.0, 1.0, 1.0, 1
15 -- 381, 1.0, 1.0, 1.0, 1
15 -- 591, 7.0, 6.0, 6.0, 6
15 -- 871, 1.0, 1.0, 1.0, 1
15 -- 644, 1.0, 1.0, 1.0, 1
15 -- 399, 1.0, 1.0, 1.0, 1
15 -- 606, 17.0, 9.0, 9.0, 9
15 -- 1002, 1.0, 1.0, 1.0, 1
15 -- 105, 1.0, 1.0, 1.0, 1
15 -- 797, 1.0, 1.0, 1.0, 1
15 -- 799, 1.0, 1.0, 1.0, 1
15 -- 890, 1.0, 1.0, 1.0, 1
16 -- 496, 1.0, 1.0, 1.0, 1
16 -- 1128, 1.0, 1.0, 1.0, 1
16 -- 673, 2.0, 2.0, 2.0, 2
16 -- 17, 1.0, 1.0, 1.0, 1
16 -- 1155, 1.0, 1.0, 1.0, 1
16 -- 898, 1.0, 1.0, 1.0, 1
16 -- 555, 1.0, 1.0, 1.0, 1
16 -- 1106, 1.0, 1.0, 1.0, 1
16 -- 941, 1.0, 1.0, 1.0, 1
16 -- 159, 1.0, 1.0, 1.0, 1
17 -- 848, 1.0, 1.0, 1.0, 1
17 -- 534, 1.0, 1.0, 1.0, 1
17 -- 939, 2.0, 2.0, 2.0, 2
17 -- 335, 1.0, 1.0, 1.0, 1
17 -- 94, 1.0, 1.0, 1.0, 1
17 -- 669, 4.0, 4.0, 4.0, 4
17 -- 670, 6.0, 6.0, 6.0, 6
17 -- 671, 2.0, 2.0, 2.0, 2
17 -- 673, 1.0, 1.0, 1.0, 1
17 -- 516, 1.0, 1.0, 1.0, 1
17 -- 375, 2.0, 2.0, 2.0, 2
18 -- 714, 1.0, 1.0, 1.0, 1
18 -- 696, 1.0, 1.0, 1.0, 1
18 -- 1001, 1.0, 1.0, 1.0, 1
18 -- 492, 7.0, 7.0, 7.0, 7
18 -- 1244, 12.0, 9.0, 9.0, 9
18 -- 495, 1.0, 1.0, 1.0, 1
18 -- 583, 1.0, 1.0, 1.0, 1
18 -- 1129, 1.0, 1.0, 1.0, 1
18 -- 586, 1.0, 1.0, 1.0, 1
18 -- 587, 1.0, 1.0, 1.0, 1
18 -- 547, 1.0, 1.0, 1.0, 1
18 -- 505, 1.0, 1.0, 1.0, 1
18 -- 835, 1.0, 1.0, 1.0, 1
18 -- 1175, 1.0, 1.0, 1.0, 1
18 -- 164, 1.0, 1.0, 1.0, 1
18 -- 992, 1.0, 1.0, 1.0, 1
18 -- 229, 1.0, 1.0, 1.0, 1
18 -- 653, 1.0, 1.0, 1.0, 1
18 -- 654, 1.0, 1.0, 1.0, 1
18 -- 292, 1.0, 1.0, 1.0, 1
18 -- 701, 3.0, 2.0, 2.0, 2
18 -- 67, 1.0, 1.0, 1.0, 1
18 -- 652, 2.0, 2.0, 2.0, 2
18 -- 847, 1.0, 1.0, 1.0, 1
18 -- 705, 3.0, 2.0, 2.0, 2
18 -- 585, 1.0, 1.0, 1.0, 1
19 -- 1242, 1.0, 1.0, 1.0, 1
19 -- 1080, 42.0, 15.0, 15.0, 15
19 -- 554, 1.0, 1.0, 1.0, 1
19 -- 61, 1.0, 1.0, 1.0, 1
19 -- 204, 1.0, 1.0, 1.0, 1
19 -- 923, 1.0, 1.0, 1.0, 1
19 -- 132, 1.0, 1.0, 1.0, 1
19 -- 461, 1.0, 1.0, 1.0, 1
19 -- 154, 1.0, 1.0, 1.0, 1
19 -- 29, 1.0, 1.0, 1.0, 1
19 -- 256, 1.0, 1.0, 1.0, 1
19 -- 860, 1.0, 1.0, 1.0, 1
20 -- 241, 2.0, 2.0, 2.0, 2
20 -- 145, 1.0, 1.0, 1.0, 1
20 -- 665, 1.0, 1.0, 1.0, 1
20 -- 913, 2.0, 2.0, 2.0, 2
20 -- 1027, 1.0, 1.0, 1.0, 1
20 -- 862, 1.0, 1.0, 1.0, 1
20 -- 948, 1.0, 1.0, 1.0, 1
20 -- 23, 2.0, 1.0, 1.0, 1
20 -- 916, 1.0, 1.0, 1.0, 1
20 -- 976, 1.0, 1.0, 1.0, 1
20 -- 1113, 2.0, 2.0, 2.0, 2
20 -- 105, 1.0, 1.0, 1.0, 1
20 -- 32, 2.0, 2.0, 2.0, 2
21 -- 935, 1.0, 1.0, 1.0, 1
21 -- 237, 1.0, 1.0, 1.0, 1
21 -- 1024, 1.0, 1.0, 1.0, 1
21 -- 102, 1.0, 1.0, 1.0, 1
21 -- 139, 1.0, 1.0, 1.0, 1
21 -- 104, 1.0, 1.0, 1.0, 1
21 -- 145, 1.0, 1.0, 1.0, 1
21 -- 1079, 3.0, 3.0, 3.0, 3
21 -- 665, 1.0, 1.0, 1.0, 1
21 -- 149, 1.0, 1.0, 1.0, 1
21 -- 1056, 1.0, 1.0, 1.0, 1
21 -- 113, 1.0, 1.0, 1.0, 1
21 -- 32, 8.0, 7.0, 7.0, 7
21 -- 26, 1.0, 1.0, 1.0, 1
21 -- 917, 1.0, 1.0, 1.0, 1
21 -- 1068, 1.0, 1.0, 1.0, 1
21 -- 257, 1.0, 1.0, 1.0, 1
22 -- 1132, 1.0, 1.0, 1.0, 1
22 -- 760, 1.0, 1.0, 1.0, 1
22 -- 238, 1.0, 1.0, 1.0, 1
22 -- 629, 1.0, 1.0, 1.0, 1
22 -- 594, 1.0, 1.0, 1.0, 1
22 -- 1024, 2.0, 2.0, 2.0, 2
22 -- 943, 7.0, 7.0, 7.0, 7
22 -- 935, 1.0, 1.0, 1.0, 1
22 -- 364, 2.0, 2.0, 2.0, 2
22 -- 392, 1.0, 1.0, 1.0, 1
22 -- 950, 1.0, 1.0, 1.0, 1
22 -- 93, 1.0, 1.0, 1.0, 1
22 -- 227, 1.0, 1.0, 1.0, 1
23 -- 236, 1.0, 1.0, 1.0, 1
23 -- 1245, 1.0, 1.0, 1.0, 1
23 -- 32, 1.0, 1.0, 1.0, 1
23 -- 305, 1.0, 1.0, 1.0, 1
23 -- 596, 1.0, 1.0, 1.0, 1
23 -- 556, 1.0, 1.0, 1.0, 1
23 -- 1202, 1.0, 1.0, 1.0, 1
24 -- 1073, 2.0, 2.0, 2.0, 2
24 -- 998, 1.0, 1.0, 1.0, 1
24 -- 711, 2.0, 2.0, 2.0, 2
24 -- 1075, 1.0, 1.0, 1.0, 1
24 -- 99, 1.0, 1.0, 1.0, 1
24 -- 1278, 1.0, 1.0, 1.0, 1
24 -- 1019, 7.0, 6.0, 6.0, 6
24 -- 148, 1.0, 1.0, 1.0, 1
24 -- 815, 1.0, 1.0, 1.0, 1
24 -- 816, 2.0, 1.0, 1.0, 1
24 -- 370, 1.0, 1.0, 1.0, 1
24 -- 583, 6.0, 1.0, 1.0, 1
24 -- 585, 1.0, 1.0, 1.0, 1
24 -- 28, 3.0, 3.0, 3.0, 3
24 -- 1162, 1.0, 1.0, 1.0, 1
24 -- 395, 1.0, 1.0, 1.0, 1
24 -- 29, 1.0, 1.0, 1.0, 1
24 -- 1052, 1.0, 1.0, 1.0, 1
24 -- 926, 1.0, 1.0, 1.0, 1
24 -- 1175, 2.0, 1.0, 1.0, 1
24 -- 786, 1.0, 1.0, 1.0, 1
24 -- 653, 1.0, 1.0, 1.0, 1
24 -- 719, 1.0, 1.0, 1.0, 1
24 -- 699, 1.0, 1.0, 1.0, 1
24 -- 134, 1.0, 1.0, 1.0, 1
