& https://raw.githubusercontent.com/padagraph/Clics/master/nodes.csv
_Edge:, languages, families, weight, width
336 -- 607, 1.0, 1.0, 1.0, 1
336 -- 375, 1.0, 1.0, 1.0, 1
336 -- 1163, 1.0, 1.0, 1.0, 1
336 -- 803, 1.0, 1.0, 1.0, 1
337 -- 378, 6.0, 6.0, 6.0, 6
337 -- 465, 1.0, 1.0, 1.0, 1
337 -- 871, 1.0, 1.0, 1.0, 1
337 -- 344, 5.0, 3.0, 3.0, 3
337 -- 457, 1.0, 1.0, 1.0, 1
337 -- 727, 1.0, 1.0, 1.0, 1
337 -- 1205, 1.0, 1.0, 1.0, 1
337 -- 1242, 1.0, 1.0, 1.0, 1
337 -- 1217, 1.0, 1.0, 1.0, 1
337 -- 904, 1.0, 1.0, 1.0, 1
337 -- 743, 1.0, 1.0, 1.0, 1
337 -- 989, 1.0, 1.0, 1.0, 1
337 -- 914, 1.0, 1.0, 1.0, 1
337 -- 1067, 31.0, 22.0, 22.0, 22
337 -- 1068, 11.0, 10.0, 10.0, 10
337 -- 655, 2.0, 1.0, 1.0, 1
337 -- 338, 33.0, 20.0, 20.0, 20
337 -- 339, 1.0, 1.0, 1.0, 1
337 -- 341, 1.0, 1.0, 1.0, 1
337 -- 342, 1.0, 1.0, 1.0, 1
337 -- 667, 16.0, 12.0, 12.0, 12
337 -- 768, 1.0, 1.0, 1.0, 1
337 -- 669, 1.0, 1.0, 1.0, 1
337 -- 853, 1.0, 1.0, 1.0, 1
337 -- 343, 10.0, 8.0, 8.0, 8
337 -- 1092, 1.0, 1.0, 1.0, 1
337 -- 845, 21.0, 15.0, 15.0, 15
337 -- 508, 1.0, 1.0, 1.0, 1
337 -- 511, 1.0, 1.0, 1.0, 1
337 -- 1178, 1.0, 1.0, 1.0, 1
337 -- 944, 1.0, 1.0, 1.0, 1
337 -- 1096, 1.0, 1.0, 1.0, 1
337 -- 670, 1.0, 1.0, 1.0, 1
337 -- 697, 1.0, 1.0, 1.0, 1
337 -- 693, 1.0, 1.0, 1.0, 1
337 -- 1250, 1.0, 1.0, 1.0, 1
337 -- 1280, 1.0, 1.0, 1.0, 1
337 -- 932, 1.0, 1.0, 1.0, 1
337 -- 800, 1.0, 1.0, 1.0, 1
337 -- 1282, 1.0, 1.0, 1.0, 1
338 -- 1242, 5.0, 5.0, 5.0, 5
338 -- 378, 22.0, 15.0, 15.0, 15
338 -- 340, 1.0, 1.0, 1.0, 1
338 -- 567, 1.0, 1.0, 1.0, 1
338 -- 1067, 1.0, 1.0, 1.0, 1
338 -- 342, 1.0, 1.0, 1.0, 1
338 -- 494, 1.0, 1.0, 1.0, 1
338 -- 1250, 4.0, 1.0, 1.0, 1
338 -- 853, 1.0, 1.0, 1.0, 1
338 -- 855, 1.0, 1.0, 1.0, 1
338 -- 1092, 2.0, 2.0, 2.0, 2
338 -- 508, 1.0, 1.0, 1.0, 1
338 -- 669, 1.0, 1.0, 1.0, 1
338 -- 1217, 1.0, 1.0, 1.0, 1
338 -- 932, 2.0, 2.0, 2.0, 2
338 -- 554, 1.0, 1.0, 1.0, 1
338 -- 670, 1.0, 1.0, 1.0, 1
338 -- 944, 1.0, 1.0, 1.0, 1
338 -- 876, 1.0, 1.0, 1.0, 1
338 -- 914, 1.0, 1.0, 1.0, 1
338 -- 1233, 1.0, 1.0, 1.0, 1
338 -- 948, 1.0, 1.0, 1.0, 1
338 -- 1187, 1.0, 1.0, 1.0, 1
338 -- 1151, 1.0, 1.0, 1.0, 1
338 -- 803, 1.0, 1.0, 1.0, 1
338 -- 800, 2.0, 2.0, 2.0, 2
338 -- 1282, 5.0, 4.0, 4.0, 4
338 -- 655, 1.0, 1.0, 1.0, 1
339 -- 405, 1.0, 1.0, 1.0, 1
339 -- 710, 6.0, 6.0, 6.0, 6
339 -- 339, 1.0, 1.0, 1.0, 1
339 -- 1124, 1.0, 1.0, 1.0, 1
339 -- 342, 4.0, 2.0, 2.0, 2
339 -- 1249, 1.0, 1.0, 1.0, 1
339 -- 1197, 1.0, 1.0, 1.0, 1
339 -- 497, 1.0, 1.0, 1.0, 1
339 -- 343, 2.0, 2.0, 2.0, 2
339 -- 501, 1.0, 1.0, 1.0, 1
339 -- 931, 5.0, 3.0, 3.0, 3
340 -- 804, 1.0, 1.0, 1.0, 1
340 -- 378, 1.0, 1.0, 1.0, 1
340 -- 342, 1.0, 1.0, 1.0, 1
340 -- 494, 1.0, 1.0, 1.0, 1
340 -- 544, 1.0, 1.0, 1.0, 1
340 -- 851, 1.0, 1.0, 1.0, 1
340 -- 710, 1.0, 1.0, 1.0, 1
340 -- 725, 1.0, 1.0, 1.0, 1
340 -- 343, 1.0, 1.0, 1.0, 1
340 -- 932, 1.0, 1.0, 1.0, 1
340 -- 968, 1.0, 1.0, 1.0, 1
340 -- 468, 1.0, 1.0, 1.0, 1
340 -- 800, 1.0, 1.0, 1.0, 1
340 -- 944, 1.0, 1.0, 1.0, 1
340 -- 367, 1.0, 1.0, 1.0, 1
340 -- 794, 1.0, 1.0, 1.0, 1
340 -- 1235, 1.0, 1.0, 1.0, 1
340 -- 948, 1.0, 1.0, 1.0, 1
340 -- 1151, 1.0, 1.0, 1.0, 1
340 -- 882, 1.0, 1.0, 1.0, 1
341 -- 958, 1.0, 1.0, 1.0, 1
341 -- 575, 1.0, 1.0, 1.0, 1
341 -- 1109, 1.0, 1.0, 1.0, 1
341 -- 609, 1.0, 1.0, 1.0, 1
341 -- 342, 2.0, 2.0, 2.0, 2
341 -- 343, 1.0, 1.0, 1.0, 1
341 -- 803, 1.0, 1.0, 1.0, 1
342 -- 1071, 1.0, 1.0, 1.0, 1
342 -- 378, 2.0, 2.0, 2.0, 2
342 -- 794, 1.0, 1.0, 1.0, 1
342 -- 1126, 1.0, 1.0, 1.0, 1
342 -- 931, 9.0, 4.0, 4.0, 4
342 -- 343, 2.0, 2.0, 2.0, 2
342 -- 544, 1.0, 1.0, 1.0, 1
342 -- 932, 4.0, 4.0, 4.0, 4
342 -- 390, 1.0, 1.0, 1.0, 1
342 -- 511, 1.0, 1.0, 1.0, 1
342 -- 470, 1.0, 1.0, 1.0, 1
342 -- 690, 1.0, 1.0, 1.0, 1
342 -- 554, 1.0, 1.0, 1.0, 1
342 -- 1247, 1.0, 1.0, 1.0, 1
342 -- 1100, 1.0, 1.0, 1.0, 1
342 -- 944, 11.0, 8.0, 8.0, 8
342 -- 520, 1.0, 1.0, 1.0, 1
342 -- 897, 2.0, 2.0, 2.0, 2
342 -- 521, 1.0, 1.0, 1.0, 1
342 -- 646, 1.0, 1.0, 1.0, 1
342 -- 578, 1.0, 1.0, 1.0, 1
342 -- 1030, 1.0, 1.0, 1.0, 1
342 -- 950, 1.0, 1.0, 1.0, 1
342 -- 800, 10.0, 9.0, 9.0, 9
342 -- 803, 1.0, 1.0, 1.0, 1
343 -- 569, 1.0, 1.0, 1.0, 1
343 -- 710, 1.0, 1.0, 1.0, 1
343 -- 465, 1.0, 1.0, 1.0, 1
343 -- 667, 8.0, 7.0, 7.0, 7
343 -- 931, 1.0, 1.0, 1.0, 1
343 -- 1020, 1.0, 1.0, 1.0, 1
343 -- 584, 1.0, 1.0, 1.0, 1
343 -- 727, 1.0, 1.0, 1.0, 1
343 -- 858, 1.0, 1.0, 1.0, 1
343 -- 845, 9.0, 8.0, 8.0, 8
343 -- 1217, 1.0, 1.0, 1.0, 1
343 -- 904, 1.0, 1.0, 1.0, 1
343 -- 605, 1.0, 1.0, 1.0, 1
343 -- 1178, 1.0, 1.0, 1.0, 1
343 -- 989, 1.0, 1.0, 1.0, 1
343 -- 940, 1.0, 1.0, 1.0, 1
343 -- 661, 1.0, 1.0, 1.0, 1
343 -- 752, 1.0, 1.0, 1.0, 1
343 -- 1067, 11.0, 11.0, 11.0, 11
343 -- 1068, 4.0, 4.0, 4.0, 4
343 -- 343, 1.0, 1.0, 1.0, 1
344 -- 871, 1.0, 1.0, 1.0, 1
344 -- 1027, 4.0, 2.0, 2.0, 2
344 -- 890, 1.0, 1.0, 1.0, 1
344 -- 718, 1.0, 1.0, 1.0, 1
344 -- 1126, 3.0, 3.0, 3.0, 3
344 -- 722, 1.0, 1.0, 1.0, 1
344 -- 981, 1.0, 1.0, 1.0, 1
344 -- 1205, 1.0, 1.0, 1.0, 1
344 -- 390, 1.0, 1.0, 1.0, 1
344 -- 644, 1.0, 1.0, 1.0, 1
344 -- 1060, 1.0, 1.0, 1.0, 1
344 -- 888, 1.0, 1.0, 1.0, 1
344 -- 1280, 1.0, 1.0, 1.0, 1
344 -- 1067, 1.0, 1.0, 1.0, 1
344 -- 1068, 1.0, 1.0, 1.0, 1
344 -- 655, 1.0, 1.0, 1.0, 1
344 -- 569, 3.0, 3.0, 3.0, 3
344 -- 848, 1.0, 1.0, 1.0, 1
344 -- 571, 1.0, 1.0, 1.0, 1
344 -- 490, 1.0, 1.0, 1.0, 1
344 -- 667, 11.0, 5.0, 5.0, 5
344 -- 360, 3.0, 1.0, 1.0, 1
344 -- 581, 1.0, 1.0, 1.0, 1
344 -- 583, 1.0, 1.0, 1.0, 1
344 -- 347, 1.0, 1.0, 1.0, 1
344 -- 587, 1.0, 1.0, 1.0, 1
344 -- 845, 5.0, 4.0, 4.0, 4
344 -- 345, 1.0, 1.0, 1.0, 1
344 -- 493, 1.0, 1.0, 1.0, 1
344 -- 497, 1.0, 1.0, 1.0, 1
344 -- 377, 2.0, 2.0, 2.0, 2
344 -- 1096, 1.0, 1.0, 1.0, 1
344 -- 601, 1.0, 1.0, 1.0, 1
344 -- 874, 10.0, 6.0, 6.0, 6
344 -- 1250, 1.0, 1.0, 1.0, 1
344 -- 797, 1.0, 1.0, 1.0, 1
344 -- 799, 1.0, 1.0, 1.0, 1
344 -- 744, 1.0, 1.0, 1.0, 1
344 -- 705, 1.0, 1.0, 1.0, 1
344 -- 579, 1.0, 1.0, 1.0, 1
345 -- 804, 1.0, 1.0, 1.0, 1
345 -- 539, 1.0, 1.0, 1.0, 1
345 -- 471, 1.0, 1.0, 1.0, 1
345 -- 670, 1.0, 1.0, 1.0, 1
345 -- 585, 1.0, 1.0, 1.0, 1
345 -- 730, 1.0, 1.0, 1.0, 1
345 -- 560, 1.0, 1.0, 1.0, 1
345 -- 1014, 1.0, 1.0, 1.0, 1
345 -- 352, 1.0, 1.0, 1.0, 1
345 -- 419, 6.0, 6.0, 6.0, 6
345 -- 1058, 1.0, 1.0, 1.0, 1
345 -- 557, 1.0, 1.0, 1.0, 1
345 -- 346, 1.0, 1.0, 1.0, 1
345 -- 1086, 1.0, 1.0, 1.0, 1
345 -- 1114, 1.0, 1.0, 1.0, 1
346 -- 1132, 1.0, 1.0, 1.0, 1
346 -- 945, 1.0, 1.0, 1.0, 1
346 -- 534, 1.0, 1.0, 1.0, 1
346 -- 869, 1.0, 1.0, 1.0, 1
346 -- 435, 4.0, 2.0, 2.0, 2
346 -- 590, 2.0, 1.0, 1.0, 1
346 -- 1274, 1.0, 1.0, 1.0, 1
346 -- 914, 1.0, 1.0, 1.0, 1
346 -- 844, 1.0, 1.0, 1.0, 1
346 -- 436, 1.0, 1.0, 1.0, 1
347 -- 521, 1.0, 1.0, 1.0, 1
347 -- 377, 1.0, 1.0, 1.0, 1
347 -- 1124, 1.0, 1.0, 1.0, 1
347 -- 735, 1.0, 1.0, 1.0, 1
347 -- 970, 1.0, 1.0, 1.0, 1
347 -- 871, 3.0, 3.0, 3.0, 3
347 -- 768, 2.0, 2.0, 2.0, 2
347 -- 524, 1.0, 1.0, 1.0, 1
347 -- 646, 1.0, 1.0, 1.0, 1
347 -- 731, 1.0, 1.0, 1.0, 1
347 -- 539, 2.0, 2.0, 2.0, 2
347 -- 1209, 1.0, 1.0, 1.0, 1
348 -- 446, 1.0, 1.0, 1.0, 1
348 -- 1073, 1.0, 1.0, 1.0, 1
348 -- 381, 1.0, 1.0, 1.0, 1
348 -- 888, 1.0, 1.0, 1.0, 1
348 -- 538, 1.0, 1.0, 1.0, 1
348 -- 539, 1.0, 1.0, 1.0, 1
348 -- 622, 1.0, 1.0, 1.0, 1
348 -- 769, 2.0, 1.0, 1.0, 1
348 -- 1204, 1.0, 1.0, 1.0, 1
348 -- 1268, 1.0, 1.0, 1.0, 1
348 -- 1274, 2.0, 2.0, 2.0, 2
348 -- 967, 1.0, 1.0, 1.0, 1
348 -- 1211, 1.0, 1.0, 1.0, 1
348 -- 731, 2.0, 1.0, 1.0, 1
348 -- 1089, 2.0, 2.0, 2.0, 2
348 -- 511, 1.0, 1.0, 1.0, 1
348 -- 851, 1.0, 1.0, 1.0, 1
348 -- 902, 3.0, 3.0, 3.0, 3
348 -- 512, 1.0, 1.0, 1.0, 1
348 -- 1267, 1.0, 1.0, 1.0, 1
348 -- 784, 1.0, 1.0, 1.0, 1
348 -- 1113, 1.0, 1.0, 1.0, 1
348 -- 715, 1.0, 1.0, 1.0, 1
348 -- 647, 1.0, 1.0, 1.0, 1
348 -- 370, 1.0, 1.0, 1.0, 1
348 -- 1110, 1.0, 1.0, 1.0, 1
348 -- 1258, 1.0, 1.0, 1.0, 1
348 -- 371, 1.0, 1.0, 1.0, 1
348 -- 882, 1.0, 1.0, 1.0, 1
348 -- 704, 1.0, 1.0, 1.0, 1
349 -- 885, 1.0, 1.0, 1.0, 1
349 -- 780, 1.0, 1.0, 1.0, 1
349 -- 888, 1.0, 1.0, 1.0, 1
349 -- 516, 1.0, 1.0, 1.0, 1
349 -- 617, 1.0, 1.0, 1.0, 1
349 -- 462, 1.0, 1.0, 1.0, 1
349 -- 604, 1.0, 1.0, 1.0, 1
349 -- 514, 1.0, 1.0, 1.0, 1
349 -- 937, 2.0, 2.0, 2.0, 2
349 -- 655, 1.0, 1.0, 1.0, 1
350 -- 731, 1.0, 1.0, 1.0, 1
350 -- 1039, 2.0, 1.0, 1.0, 1
350 -- 735, 2.0, 1.0, 1.0, 1
350 -- 982, 1.0, 1.0, 1.0, 1
351 -- 707, 1.0, 1.0, 1.0, 1
351 -- 1261, 1.0, 1.0, 1.0, 1
351 -- 1183, 1.0, 1.0, 1.0, 1
351 -- 1128, 5.0, 5.0, 5.0, 5
351 -- 411, 1.0, 1.0, 1.0, 1
351 -- 999, 1.0, 1.0, 1.0, 1
351 -- 1001, 2.0, 2.0, 2.0, 2
351 -- 718, 2.0, 2.0, 2.0, 2
351 -- 367, 1.0, 1.0, 1.0, 1
351 -- 1249, 1.0, 1.0, 1.0, 1
351 -- 376, 2.0, 2.0, 2.0, 2
351 -- 839, 1.0, 1.0, 1.0, 1
351 -- 508, 1.0, 1.0, 1.0, 1
351 -- 436, 5.0, 3.0, 3.0, 3
351 -- 1173, 1.0, 1.0, 1.0, 1
351 -- 574, 1.0, 1.0, 1.0, 1
351 -- 961, 1.0, 1.0, 1.0, 1
351 -- 1116, 3.0, 2.0, 2.0, 2
351 -- 591, 1.0, 1.0, 1.0, 1
351 -- 373, 1.0, 1.0, 1.0, 1
351 -- 871, 2.0, 2.0, 2.0, 2
351 -- 1240, 1.0, 1.0, 1.0, 1
351 -- 1079, 4.0, 4.0, 4.0, 4
351 -- 1030, 1.0, 1.0, 1.0, 1
351 -- 953, 1.0, 1.0, 1.0, 1
351 -- 1070, 1.0, 1.0, 1.0, 1
352 -- 532, 2.0, 2.0, 2.0, 2
352 -- 1195, 1.0, 1.0, 1.0, 1
352 -- 548, 1.0, 1.0, 1.0, 1
352 -- 1120, 1.0, 1.0, 1.0, 1
352 -- 1122, 1.0, 1.0, 1.0, 1
352 -- 1199, 1.0, 1.0, 1.0, 1
352 -- 1125, 2.0, 2.0, 2.0, 2
352 -- 1045, 1.0, 1.0, 1.0, 1
352 -- 895, 1.0, 1.0, 1.0, 1
352 -- 1204, 1.0, 1.0, 1.0, 1
352 -- 1009, 1.0, 1.0, 1.0, 1
352 -- 1010, 1.0, 1.0, 1.0, 1
352 -- 504, 1.0, 1.0, 1.0, 1
352 -- 885, 1.0, 1.0, 1.0, 1
352 -- 522, 1.0, 1.0, 1.0, 1
352 -- 1132, 9.0, 6.0, 6.0, 6
352 -- 392, 14.0, 12.0, 12.0, 12
352 -- 454, 1.0, 1.0, 1.0, 1
352 -- 739, 1.0, 1.0, 1.0, 1
352 -- 431, 1.0, 1.0, 1.0, 1
352 -- 1190, 1.0, 1.0, 1.0, 1
352 -- 555, 1.0, 1.0, 1.0, 1
352 -- 801, 1.0, 1.0, 1.0, 1
352 -- 647, 1.0, 1.0, 1.0, 1
352 -- 1030, 1.0, 1.0, 1.0, 1
352 -- 1113, 1.0, 1.0, 1.0, 1
352 -- 579, 1.0, 1.0, 1.0, 1
353 -- 616, 16.0, 7.0, 7.0, 7
353 -- 780, 2.0, 1.0, 1.0, 1
353 -- 960, 5.0, 1.0, 1.0, 1
353 -- 431, 7.0, 4.0, 4.0, 4
353 -- 1060, 1.0, 1.0, 1.0, 1
353 -- 450, 1.0, 1.0, 1.0, 1
353 -- 611, 1.0, 1.0, 1.0, 1
353 -- 852, 1.0, 1.0, 1.0, 1
353 -- 1206, 3.0, 1.0, 1.0, 1
353 -- 964, 1.0, 1.0, 1.0, 1
353 -- 855, 1.0, 1.0, 1.0, 1
353 -- 367, 2.0, 1.0, 1.0, 1
353 -- 370, 2.0, 2.0, 2.0, 2
353 -- 371, 1.0, 1.0, 1.0, 1
354 -- 804, 1.0, 1.0, 1.0, 1
354 -- 621, 1.0, 1.0, 1.0, 1
354 -- 709, 1.0, 1.0, 1.0, 1
354 -- 1040, 1.0, 1.0, 1.0, 1
354 -- 634, 1.0, 1.0, 1.0, 1
354 -- 889, 1.0, 1.0, 1.0, 1
354 -- 1177, 4.0, 4.0, 4.0, 4
354 -- 414, 3.0, 2.0, 2.0, 2
354 -- 356, 1.0, 1.0, 1.0, 1
354 -- 1090, 1.0, 1.0, 1.0, 1
354 -- 1091, 1.0, 1.0, 1.0, 1
354 -- 1092, 1.0, 1.0, 1.0, 1
354 -- 1260, 1.0, 1.0, 1.0, 1
354 -- 1168, 14.0, 13.0, 13.0, 13
354 -- 355, 13.0, 10.0, 10.0, 10
354 -- 1219, 1.0, 1.0, 1.0, 1
354 -- 357, 1.0, 1.0, 1.0, 1
354 -- 940, 1.0, 1.0, 1.0, 1
354 -- 1272, 5.0, 4.0, 4.0, 4
354 -- 1213, 1.0, 1.0, 1.0, 1
354 -- 761, 1.0, 1.0, 1.0, 1
354 -- 941, 1.0, 1.0, 1.0, 1
354 -- 993, 1.0, 1.0, 1.0, 1
354 -- 479, 1.0, 1.0, 1.0, 1
354 -- 950, 1.0, 1.0, 1.0, 1
354 -- 841, 1.0, 1.0, 1.0, 1
354 -- 952, 1.0, 1.0, 1.0, 1
354 -- 1265, 1.0, 1.0, 1.0, 1
354 -- 655, 1.0, 1.0, 1.0, 1
355 -- 808, 1.0, 1.0, 1.0, 1
355 -- 810, 1.0, 1.0, 1.0, 1
355 -- 718, 1.0, 1.0, 1.0, 1
355 -- 721, 1.0, 1.0, 1.0, 1
355 -- 416, 1.0, 1.0, 1.0, 1
355 -- 417, 1.0, 1.0, 1.0, 1
355 -- 818, 1.0, 1.0, 1.0, 1
355 -- 1048, 1.0, 1.0, 1.0, 1
355 -- 824, 1.0, 1.0, 1.0, 1
355 -- 1090, 1.0, 1.0, 1.0, 1
355 -- 1091, 3.0, 2.0, 2.0, 2
355 -- 429, 1.0, 1.0, 1.0, 1
355 -- 634, 1.0, 1.0, 1.0, 1
355 -- 1158, 1.0, 1.0, 1.0, 1
355 -- 1173, 1.0, 1.0, 1.0, 1
355 -- 357, 5.0, 4.0, 4.0, 4
355 -- 358, 1.0, 1.0, 1.0, 1
355 -- 1272, 1.0, 1.0, 1.0, 1
355 -- 743, 1.0, 1.0, 1.0, 1
355 -- 617, 2.0, 2.0, 2.0, 2
355 -- 1092, 1.0, 1.0, 1.0, 1
355 -- 950, 1.0, 1.0, 1.0, 1
355 -- 1168, 11.0, 11.0, 11.0, 11
356 -- 1219, 1.0, 1.0, 1.0, 1
356 -- 621, 1.0, 1.0, 1.0, 1
356 -- 595, 1.0, 1.0, 1.0, 1
356 -- 1023, 1.0, 1.0, 1.0, 1
356 -- 893, 1.0, 1.0, 1.0, 1
356 -- 1045, 1.0, 1.0, 1.0, 1
356 -- 697, 1.0, 1.0, 1.0, 1
356 -- 1197, 2.0, 2.0, 2.0, 2
356 -- 853, 1.0, 1.0, 1.0, 1
356 -- 1277, 1.0, 1.0, 1.0, 1
356 -- 879, 2.0, 2.0, 2.0, 2
356 -- 378, 1.0, 1.0, 1.0, 1
356 -- 1181, 11.0, 4.0, 4.0, 4
356 -- 1113, 1.0, 1.0, 1.0, 1
356 -- 1241, 1.0, 1.0, 1.0, 1
357 -- 733, 1.0, 1.0, 1.0, 1
357 -- 358, 11.0, 8.0, 8.0, 8
357 -- 1001, 1.0, 1.0, 1.0, 1
357 -- 689, 2.0, 1.0, 1.0, 1
357 -- 1159, 1.0, 1.0, 1.0, 1
357 -- 418, 1.0, 1.0, 1.0, 1
357 -- 506, 1.0, 1.0, 1.0, 1
357 -- 615, 1.0, 1.0, 1.0, 1
357 -- 444, 1.0, 1.0, 1.0, 1
357 -- 404, 1.0, 1.0, 1.0, 1
357 -- 1048, 1.0, 1.0, 1.0, 1
358 -- 416, 2.0, 2.0, 2.0, 2
358 -- 963, 1.0, 1.0, 1.0, 1
358 -- 798, 1.0, 1.0, 1.0, 1
358 -- 1241, 2.0, 1.0, 1.0, 1
359 -- 466, 5.0, 5.0, 5.0, 5
359 -- 1223, 17.0, 5.0, 5.0, 5
359 -- 1224, 24.0, 9.0, 9.0, 9
359 -- 1226, 2.0, 2.0, 2.0, 2
359 -- 553, 4.0, 4.0, 4.0, 4
359 -- 562, 4.0, 4.0, 4.0, 4
359 -- 479, 1.0, 1.0, 1.0, 1
359 -- 1012, 2.0, 2.0, 2.0, 2
359 -- 1225, 1.0, 1.0, 1.0, 1
359 -- 654, 2.0, 2.0, 2.0, 2
359 -- 634, 5.0, 5.0, 5.0, 5
360 -- 569, 1.0, 1.0, 1.0, 1
360 -- 958, 1.0, 1.0, 1.0, 1
360 -- 379, 1.0, 1.0, 1.0, 1
360 -- 764, 1.0, 1.0, 1.0, 1
360 -- 557, 1.0, 1.0, 1.0, 1
360 -- 490, 1.0, 1.0, 1.0, 1
360 -- 667, 25.0, 16.0, 16.0, 16
360 -- 1058, 1.0, 1.0, 1.0, 1
360 -- 669, 10.0, 6.0, 6.0, 6
360 -- 1268, 1.0, 1.0, 1.0, 1
360 -- 670, 1.0, 1.0, 1.0, 1
360 -- 1126, 3.0, 3.0, 3.0, 3
360 -- 858, 1.0, 1.0, 1.0, 1
360 -- 898, 1.0, 1.0, 1.0, 1
360 -- 992, 1.0, 1.0, 1.0, 1
360 -- 1219, 1.0, 1.0, 1.0, 1
360 -- 940, 1.0, 1.0, 1.0, 1
360 -- 942, 1.0, 1.0, 1.0, 1
360 -- 458, 1.0, 1.0, 1.0, 1
360 -- 519, 1.0, 1.0, 1.0, 1
360 -- 873, 1.0, 1.0, 1.0, 1
360 -- 914, 1.0, 1.0, 1.0, 1
360 -- 1079, 1.0, 1.0, 1.0, 1
360 -- 1280, 14.0, 7.0, 7.0, 7
360 -- 673, 1.0, 1.0, 1.0, 1
361 -- 1118, 1.0, 1.0, 1.0, 1
361 -- 715, 1.0, 1.0, 1.0, 1
361 -- 1008, 5.0, 1.0, 1.0, 1
361 -- 895, 2.0, 2.0, 2.0, 2
361 -- 818, 1.0, 1.0, 1.0, 1
361 -- 1208, 1.0, 1.0, 1.0, 1
361 -- 974, 1.0, 1.0, 1.0, 1
361 -- 1054, 1.0, 1.0, 1.0, 1
361 -- 504, 1.0, 1.0, 1.0, 1
361 -- 904, 1.0, 1.0, 1.0, 1
361 -- 905, 28.0, 6.0, 6.0, 6
361 -- 790, 1.0, 1.0, 1.0, 1
361 -- 839, 2.0, 2.0, 2.0, 2
361 -- 1059, 1.0, 1.0, 1.0, 1
361 -- 1018, 1.0, 1.0, 1.0, 1
361 -- 916, 1.0, 1.0, 1.0, 1
361 -- 1070, 1.0, 1.0, 1.0, 1
361 -- 1075, 1.0, 1.0, 1.0, 1
361 -- 490, 1.0, 1.0, 1.0, 1
361 -- 588, 7.0, 5.0, 5.0, 5
361 -- 1249, 1.0, 1.0, 1.0, 1
361 -- 852, 1.0, 1.0, 1.0, 1
361 -- 853, 1.0, 1.0, 1.0, 1
361 -- 720, 1.0, 1.0, 1.0, 1
361 -- 674, 1.0, 1.0, 1.0, 1
361 -- 1234, 1.0, 1.0, 1.0, 1
361 -- 512, 3.0, 1.0, 1.0, 1
361 -- 464, 1.0, 1.0, 1.0, 1
361 -- 1158, 1.0, 1.0, 1.0, 1
361 -- 511, 1.0, 1.0, 1.0, 1
361 -- 686, 1.0, 1.0, 1.0, 1
361 -- 605, 1.0, 1.0, 1.0, 1
361 -- 897, 1.0, 1.0, 1.0, 1
361 -- 388, 2.0, 2.0, 2.0, 2
361 -- 361, 1.0, 1.0, 1.0, 1
361 -- 1057, 1.0, 1.0, 1.0, 1
361 -- 1062, 1.0, 1.0, 1.0, 1
361 -- 1110, 1.0, 1.0, 1.0, 1
361 -- 950, 1.0, 1.0, 1.0, 1
361 -- 1281, 1.0, 1.0, 1.0, 1
361 -- 373, 1.0, 1.0, 1.0, 1
362 -- 892, 1.0, 1.0, 1.0, 1
362 -- 1126, 1.0, 1.0, 1.0, 1
362 -- 544, 1.0, 1.0, 1.0, 1
362 -- 1009, 8.0, 5.0, 5.0, 5
362 -- 613, 1.0, 1.0, 1.0, 1
362 -- 830, 1.0, 1.0, 1.0, 1
362 -- 832, 1.0, 1.0, 1.0, 1
362 -- 835, 1.0, 1.0, 1.0, 1
362 -- 985, 2.0, 2.0, 2.0, 2
362 -- 1137, 1.0, 1.0, 1.0, 1
362 -- 604, 1.0, 1.0, 1.0, 1
362 -- 438, 3.0, 2.0, 2.0, 2
362 -- 1140, 2.0, 1.0, 1.0, 1
362 -- 1116, 1.0, 1.0, 1.0, 1
362 -- 1142, 1.0, 1.0, 1.0, 1
362 -- 969, 18.0, 10.0, 10.0, 10
362 -- 570, 3.0, 3.0, 3.0, 3
362 -- 571, 7.0, 6.0, 6.0, 6
362 -- 1004, 5.0, 3.0, 3.0, 3
362 -- 768, 1.0, 1.0, 1.0, 1
362 -- 420, 1.0, 1.0, 1.0, 1
362 -- 928, 1.0, 1.0, 1.0, 1
362 -- 429, 1.0, 1.0, 1.0, 1
362 -- 935, 1.0, 1.0, 1.0, 1
362 -- 1163, 4.0, 4.0, 4.0, 4
362 -- 690, 1.0, 1.0, 1.0, 1
362 -- 520, 1.0, 1.0, 1.0, 1
362 -- 1056, 1.0, 1.0, 1.0, 1
362 -- 364, 7.0, 6.0, 6.0, 6
362 -- 367, 1.0, 1.0, 1.0, 1
362 -- 368, 8.0, 7.0, 7.0, 7
362 -- 441, 1.0, 1.0, 1.0, 1
362 -- 1281, 1.0, 1.0, 1.0, 1
362 -- 803, 1.0, 1.0, 1.0, 1
363 -- 669, 1.0, 1.0, 1.0, 1
363 -- 1133, 1.0, 1.0, 1.0, 1
363 -- 1264, 1.0, 1.0, 1.0, 1
363 -- 1220, 1.0, 1.0, 1.0, 1
363 -- 1142, 1.0, 1.0, 1.0, 1
363 -- 541, 1.0, 1.0, 1.0, 1
363 -- 893, 1.0, 1.0, 1.0, 1
363 -- 1144, 1.0, 1.0, 1.0, 1
364 -- 1024, 6.0, 5.0, 5.0, 5
364 -- 465, 1.0, 1.0, 1.0, 1
364 -- 659, 1.0, 1.0, 1.0, 1
364 -- 891, 2.0, 2.0, 2.0, 2
364 -- 893, 1.0, 1.0, 1.0, 1
364 -- 668, 1.0, 1.0, 1.0, 1
