@Concept: #id, key, label, concept, body_part, frequency
221, 2.96, they, they, 0.0, 302.0
222, 2.91, I, I, 0.0, 289.0
223, 2.93, he/she/it, he/she/it, 0.0, 405.0
224, 2.92, you (singular), you (singular), 0.0, 333.0
225, 10.614, carry-on-head, carry-on-head, 0.0, 177.0
226, 2.461, old man, old man, 0.0, 274.0
227, 13.9, nine, nine, 0.0, 158.0
228, 13.10, ten, ten, 0.0, 166.0
229, 10.252, catch (ball), catch (ball), 0.0, 240.0
230, 10.612, carry-in-hand, carry-in-hand, 0.0, 209.0
231, 10.613, carry-on-shoulder, carry-on-shoulder, 0.0, 238.0
232, 19.72, prostitute, prostitute, 0.0, 236.0
233, 9.32, stretch, stretch, 0.0, 278.0
234, 8.52, hay, hay, 0.0, 178.0
235, 4.852, bruise, bruise, 0.0, 205.0
236, 14.41, day, day, 0.0, 244.0
237, 14.42, night, night, 0.0, 249.0
238, 14.43, dawn, dawn, 0.0, 294.0
239, 4.856, boil (noun), boil (noun), 0.0, 259.0
240, 14.45, noon/ midday, noon/ midday, 0.0, 239.0
241, 14.46, evening, evening, 0.0, 246.0
242, 7.131, garden-house, garden-house, 0.0, 137.0
243, 14.48, tomorrow, tomorrow, 0.0, 238.0
244, 14.49, yesterday, yesterday, 0.0, 232.0
245, 11.78, wages, wages, 0.0, 226.0
246, 11.79, earn, earn, 0.0, 197.0
247, 2.511, mother's brother, mother's brother, 0.0, 223.0
248, 2.512, father's brother, father's brother, 0.0, 241.0
249, 5.91, mead, mead, 0.0, 124.0
250, 5.84, honey, honey, 0.0, 224.0
251, 5.93, beer, beer, 0.0, 169.0
252, 5.94, fermented drink, fermented drink, 0.0, 222.0
253, 5.97, egg, egg, 0.0, 240.0
254, 8.35, threshing-floor, threshing-floor, 0.0, 145.0
255, 8.34, thresh, thresh, 0.0, 195.0
256, 8.31, sow, sow, 0.0, 238.0
257, 8.33, sickle/ scythe, sickle/ scythe, 0.0, 244.0
258, 8.32, mow/ reap, mow/ reap, 0.0, 246.0
259, 9.43, carpenter, carpenter, 0.0, 167.0
260, 12.541, span/ fathom, span/ fathom, 0.0, 161.0
261, 4.853, swelling, swelling, 0.0, 306.0
262, 21.51, steal, steal, 0.0, 275.0
263, 1.73, cloud, cloud, 0.0, 273.0
264, 8.69, smoke (tobacco), smoke (tobacco), 0.0, 229.0
265, 13.24, half, half, 0.0, 259.0
266, 3.44, mare, mare, 0.0, 172.0
267, 3.58, nest, nest, 0.0, 242.0
268, 3.56, goose, goose, 0.0, 154.0
